month,node_name,item,value
2026-01,VIRTUAL_NODE,initial_inventory,0.0
2026-01,VIRTUAL_NODE,demand,40.0
2026-01,VIRTUAL_NODE,production,120.0
2026-02,VIRTUAL_NODE,demand,45.0
2026-02,VIRTUAL_NODE,production,120.0
2026-03,VIRTUAL_NODE,demand,55.0
2026-03,VIRTUAL_NODE,production,140.0
2026-04,VIRTUAL_NODE,demand,65.0
2026-04,VIRTUAL_NODE,production,140.0
2026-05,VIRTUAL_NODE,demand,75.0
2026-05,VIRTUAL_NODE,production,160.0
2026-06,VIRTUAL_NODE,demand,85.0
2026-06,VIRTUAL_NODE,production,160.0
2026-07,VIRTUAL_NODE,demand,80.0
2026-07,VIRTUAL_NODE,production,120.0
2026-08,VIRTUAL_NODE,demand,70.0
2026-08,VIRTUAL_NODE,production,100.0
2026-09,VIRTUAL_NODE,demand,60.0
2026-09,VIRTUAL_NODE,production,80.0
2026-10,VIRTUAL_NODE,demand,55.0
2026-10,VIRTUAL_NODE,production,60.0
2026-11,VIRTUAL_NODE,demand,50.0
2026-11,VIRTUAL_NODE,production,40.0
2026-12,VIRTUAL_NODE,demand,45.0
2026-12,VIRTUAL_NODE,production,20.0
2027-01,VIRTUAL_NODE,demand,35.0
2027-01,VIRTUAL_NODE,production,0.0
2027-02,VIRTUAL_NODE,demand,35.0
2027-02,VIRTUAL_NODE,production,0.0
2027-03,VIRTUAL_NODE,demand,35.0
2027-03,VIRTUAL_NODE,production,0.0
2027-04,VIRTUAL_NODE,demand,0.0
2027-04,VIRTUAL_NODE,production,0.0
2027-05,VIRTUAL_NODE,demand,0.0
2027-05,VIRTUAL_NODE,production,0.0
2027-06,VIRTUAL_NODE,demand,0.0
2027-06,VIRTUAL_NODE,production,0.0
2027-07,VIRTUAL_NODE,demand,0.0
2027-07,VIRTUAL_NODE,production,0.0
2027-08,VIRTUAL_NODE,demand,0.0
2027-08,VIRTUAL_NODE,production,0.0
2027-09,VIRTUAL_NODE,demand,0.0
2027-09,VIRTUAL_NODE,production,0.0
2027-10,VIRTUAL_NODE,demand,0.0
2027-10,VIRTUAL_NODE,production,0.0
2027-11,VIRTUAL_NODE,demand,0.0
2027-11,VIRTUAL_NODE,production,0.0
2027-12,VIRTUAL_NODE,demand,0.0
2027-12,VIRTUAL_NODE,production,0.0
