month,node_name,value
Jan-26,VIRTUAL_NODE,1500
Feb-26,VIRTUAL_NODE,1500
Mar-26,VIRTUAL_NODE,1500
Apr-26,VIRTUAL_NODE,1500
May-26,VIRTUAL_NODE,1500
Jun-26,VIRTUAL_NODE,1500
Jul-26,VIRTUAL_NODE,1500
Aug-26,VIRTUAL_NODE,1500
Sep-26,VIRTUAL_NODE,1500
Oct-26,VIRTUAL_NODE,1500
Nov-26,VIRTUAL_NODE,1500
Dec-26,VIRTUAL_NODE,1500
Jan-27,VIRTUAL_NODE,1500
Feb-27,VIRTUAL_NODE,1500
Mar-27,VIRTUAL_NODE,1500
Apr-27,VIRTUAL_NODE,1500
May-27,VIRTUAL_NODE,1500
Jun-27,VIRTUAL_NODE,1500
Jul-27,VIRTUAL_NODE,1500
Aug-27,VIRTUAL_NODE,1500
Sep-27,VIRTUAL_NODE,1500
Oct-27,VIRTUAL_NODE,1500
Nov-27,VIRTUAL_NODE,1500
Dec-27,VIRTUAL_NODE,1500
Jan-28,VIRTUAL_NODE,1500
Feb-28,VIRTUAL_NODE,1500
Mar-28,VIRTUAL_NODE,1500
Apr-28,VIRTUAL_NODE,1500
May-28,VIRTUAL_NODE,1500
Jun-28,VIRTUAL_NODE,1500
Jul-28,VIRTUAL_NODE,1500
Aug-28,VIRTUAL_NODE,1500
Sep-28,VIRTUAL_NODE,1500
Oct-28,VIRTUAL_NODE,1500
Nov-28,VIRTUAL_NODE,1500
Dec-28,VIRTUAL_NODE,1500
