month,node_name,value
26-Jan,VIRTUAL_NODE,0
26-Feb,VIRTUAL_NODE,0
26-Mar,VIRTUAL_NODE,0
26-Apr,VIRTUAL_NODE,0
26-May,VIRTUAL_NODE,0
26-Jun,VIRTUAL_NODE,0
26-Jul,VIRTUAL_NODE,0
26-Aug,VIRTUAL_NODE,0
26-Sep,VIRTUAL_NODE,1000
26-Oct,VIRTUAL_NODE,1000
26-Nov,VIRTUAL_NODE,0
26-Dec,VIRTUAL_NODE,0
27-Jan,VIRTUAL_NODE,0
27-Feb,VIRTUAL_NODE,0
27-Mar,VIRTUAL_NODE,0
27-Apr,VIRTUAL_NODE,0
27-May,VIRTUAL_NODE,0
27-Jun,VIRTUAL_NODE,0
27-Jul,VIRTUAL_NODE,0
27-Aug,VIRTUAL_NODE,0
27-Sep,VIRTUAL_NODE,700
27-Oct,VIRTUAL_NODE,700
27-Nov,VIRTUAL_NODE,0
27-Dec,VIRTUAL_NODE,0
28-Jan,VIRTUAL_NODE,0
28-Feb,VIRTUAL_NODE,0
28-Mar,VIRTUAL_NODE,0
28-Apr,VIRTUAL_NODE,0
28-May,VIRTUAL_NODE,0
28-Jun,VIRTUAL_NODE,0
28-Jul,VIRTUAL_NODE,0
28-Aug,VIRTUAL_NODE,0
28-Sep,VIRTUAL_NODE,700
28-Oct,VIRTUAL_NODE,700
28-Nov,VIRTUAL_NODE,0
28-Dec,VIRTUAL_NODE,0
