month,item,value
2026-01,demand,0.0
2026-01,planning_S,0.0
2026-01,production,100.0
2026-01,sell_price,1000.0
2026-02,demand,0.0
2026-02,planning_S,0.0
2026-02,production,100.0
2026-02,sell_price,1000.0
2026-03,demand,0.0
2026-03,planning_S,0.0
2026-03,production,100.0
2026-03,sell_price,1000.0
2026-04,demand,500.0
2026-04,planning_S,450.0
2026-04,production,150.0
2026-04,sell_price,1000.0
2026-05,demand,50.0
2026-05,planning_S,50.0
2026-05,production,150.0
2026-05,sell_price,1000.0
2026-06,demand,60.0
2026-06,planning_S,60.0
2026-06,production,200.0
2026-06,sell_price,1000.0
2026-07,demand,90.0
2026-07,planning_S,90.0
2026-07,production,250.0
2026-07,sell_price,1000.0
2026-08,demand,130.0
2026-08,planning_S,130.0
2026-08,production,250.0
2026-08,sell_price,1000.0
2026-09,demand,190.0
2026-09,planning_S,190.0
2026-09,production,300.0
2026-09,sell_price,1000.0
2026-10,demand,260.0
2026-10,planning_S,260.0
2026-10,production,250.0
2026-10,sell_price,1000.0
2026-11,demand,320.0
2026-11,planning_S,320.0
2026-11,production,253.00000000000003
2026-11,sell_price,1000.0
2026-12,demand,300.0
2026-12,planning_S,300.0
2026-12,production,253.00000000000003
2026-12,sell_price,1000.0
2027-01,demand,250.0
2027-01,planning_S,250.0
2027-01,production,200.0
2027-01,sell_price,1000.0
2027-02,demand,210.0
2027-02,planning_S,210.0
2027-02,production,200.0
2027-02,sell_price,1000.0
2027-03,demand,170.0
2027-03,planning_S,170.0
2027-03,production,0.0
2027-03,sell_price,1000.0
2027-04,demand,130.0
2027-04,planning_S,130.0
2027-04,production,0.0
2027-04,sell_price,1000.0
2027-05,demand,100.0
2027-05,planning_S,100.0
2027-05,production,0.0
2027-05,sell_price,1000.0
2027-06,demand,80.0
2027-06,planning_S,0.0
2027-06,production,0.0
2027-06,sell_price,1000.0
2027-07,demand,0.0
2027-07,planning_S,0.0
2027-07,production,0.0
2027-07,sell_price,1000.0
2027-08,demand,0.0
2027-08,planning_S,0.0
2027-08,production,0.0
2027-08,sell_price,1000.0
2027-09,demand,0.0
2027-09,planning_S,0.0
2027-09,production,0.0
2027-09,sell_price,1000.0
2027-10,demand,0.0
2027-10,planning_S,0.0
2027-10,production,0.0
2027-10,sell_price,1000.0
2027-11,demand,0.0
2027-11,planning_S,0.0
2027-11,production,0.0
2027-11,sell_price,1000.0
2027-12,demand,0.0
2027-12,planning_S,0.0
2027-12,production,0.0
2027-12,sell_price,1000.0
2028-01,demand,0.0
2028-01,planning_S,0.0
2028-01,production,0.0
2028-01,sell_price,1000.0
2028-02,demand,0.0
2028-02,planning_S,0.0
2028-02,production,0.0
2028-02,sell_price,1000.0
2028-03,demand,0.0
2028-03,planning_S,0.0
2028-03,production,0.0
2028-03,sell_price,1000.0
2028-04,demand,0.0
2028-04,planning_S,0.0
2028-04,production,0.0
2028-04,sell_price,1000.0
2028-05,demand,0.0
2028-05,planning_S,0.0
2028-05,production,0.0
2028-05,sell_price,1000.0
2028-06,demand,0.0
2028-06,planning_S,0.0
2028-06,production,0.0
2028-06,sell_price,1000.0
2028-07,demand,0.0
2028-07,planning_S,0.0
2028-07,production,0.0
2028-07,sell_price,1000.0
2028-08,demand,0.0
2028-08,planning_S,0.0
2028-08,production,0.0
2028-08,sell_price,1000.0
2028-09,demand,0.0
2028-09,planning_S,0.0
2028-09,production,0.0
2028-09,sell_price,1000.0
2028-10,demand,0.0
2028-10,planning_S,0.0
2028-10,production,0.0
2028-10,sell_price,1000.0
2028-11,demand,0.0
2028-11,planning_S,0.0
2028-11,production,0.0
2028-11,sell_price,1000.0
2028-12,demand,0.0
2028-12,planning_S,0.0
2028-12,production,0.0
2028-12,sell_price,1000.0
