month,demand,production,sales,inventory,backlog,waste,over_i,cap_P,cap_S,cap_I
2026-1-,0.0,100.0,0.0,100.0,0.0,0.0,0.0,,,
2026-10,260.0,250.0,260.0,90.0,0.0,0.0,0.0,,,
2026-11,320.0,230.0,320.0,0.0,0.0,0.0,0.0,,,
2026-12,300.0,230.0,230.0,0.0,70.0,0.0,0.0,,,500.0
2026-2-,0.0,100.0,70.0,30.0,0.0,0.0,0.0,,,
2026-3-,0.0,100.0,0.0,130.0,0.0,0.0,0.0,,,
2026-4-,0.0,150.0,0.0,280.0,0.0,0.0,0.0,,,
2026-5-,50.0,150.0,50.0,380.0,0.0,0.0,0.0,,,
2026-6-,60.0,200.0,60.0,520.0,0.0,0.0,0.0,,,
2026-7-,90.0,250.0,90.0,680.0,0.0,0.0,0.0,,,
2026-8-,130.0,250.0,130.0,800.0,0.0,0.0,0.0,,,
2026-9-,190.0,300.0,190.0,910.0,0.0,0.0,0.0,,,
2027-1-,250.0,200.0,250.0,860.0,0.0,0.0,0.0,,,
2027-10,0.0,0.0,0.0,860.0,0.0,0.0,0.0,,,
2027-11,0.0,0.0,0.0,860.0,0.0,0.0,0.0,,,
2027-12,0.0,0.0,0.0,860.0,0.0,0.0,0.0,,,
2027-2-,210.0,200.0,210.0,850.0,0.0,0.0,0.0,,,
2027-3-,170.0,0.0,170.0,680.0,0.0,0.0,0.0,,,
2027-4-,130.0,0.0,130.0,550.0,0.0,0.0,0.0,,,
2027-5-,100.0,0.0,100.0,450.0,0.0,0.0,0.0,,,
2027-6-,80.0,0.0,80.0,370.0,0.0,0.0,0.0,,,
2027-7-,0.0,0.0,0.0,370.0,0.0,0.0,0.0,,,
2027-8-,0.0,0.0,0.0,370.0,0.0,0.0,0.0,,,
2027-9-,0.0,0.0,0.0,370.0,0.0,0.0,0.0,,,
2028-1-,0.0,0.0,0.0,370.0,0.0,0.0,0.0,,,
2028-10,0.0,0.0,0.0,370.0,0.0,0.0,0.0,,,
2028-11,0.0,0.0,0.0,370.0,0.0,0.0,0.0,,,
2028-12,0.0,0.0,0.0,370.0,0.0,0.0,0.0,,,
2028-2-,0.0,0.0,0.0,370.0,0.0,0.0,0.0,,,
2028-3-,0.0,0.0,0.0,370.0,0.0,0.0,0.0,,,
2028-4-,0.0,0.0,0.0,370.0,0.0,0.0,0.0,,,
2028-5-,0.0,0.0,0.0,370.0,0.0,0.0,0.0,,,
2028-6-,0.0,0.0,0.0,370.0,0.0,0.0,0.0,,,
2028-7-,0.0,0.0,0.0,370.0,0.0,0.0,0.0,,,
2028-8-,0.0,0.0,0.0,370.0,0.0,0.0,0.0,,,
2028-9-,0.0,0.0,0.0,370.0,0.0,0.0,0.0,,,
