month,demand,production,sales,inventory,backlog,waste,over_i,cap_P,cap_S,cap_I
2026-01,0.0,100.0,0.0,100.0,0.0,0.0,0.0,230.0,300.0,500.0
2026-02,0.0,100.0,0.0,200.0,0.0,0.0,0.0,230.0,300.0,500.0
2026-03,0.0,100.0,0.0,300.0,0.0,0.0,0.0,230.0,300.0,500.0
2026-04,0.0,150.0,0.0,450.0,0.0,0.0,0.0,230.0,300.0,500.0
2026-05,50.0,150.0,50.0,550.0,0.0,0.0,50.0,230.0,300.0,500.0
2026-06,60.0,200.0,60.0,690.0,0.0,0.0,190.0,230.0,300.0,500.0
2026-07,90.0,250.0,90.0,850.0,0.0,0.0,0.0,,,
2026-08,130.0,250.0,130.0,970.0,0.0,0.0,0.0,,,
2026-09,190.0,300.0,190.0,1080.0,0.0,0.0,0.0,,,
2026-10,260.0,250.0,260.0,1070.0,0.0,0.0,0.0,,,
2026-11,320.0,253.00000000000003,320.0,1003.0,0.0,0.0,0.0,,,
2026-12,300.0,253.00000000000003,300.0,956.0,0.0,0.0,456.0,,,500.0
2027-01,250.0,200.0,250.0,906.0,0.0,0.0,0.0,,,
2027-02,210.0,200.0,210.0,896.0,0.0,0.0,0.0,,,
2027-03,170.0,0.0,170.0,726.0,0.0,0.0,0.0,,,
2027-04,130.0,0.0,130.0,596.0,0.0,0.0,0.0,,,
2027-05,100.0,0.0,100.0,496.0,0.0,0.0,0.0,,,
2027-06,80.0,0.0,80.0,416.0,0.0,0.0,0.0,,,
2027-07,0.0,0.0,0.0,416.0,0.0,0.0,0.0,,,
2027-08,0.0,0.0,0.0,416.0,0.0,0.0,0.0,,,
2027-09,0.0,0.0,0.0,416.0,0.0,0.0,0.0,,,
2027-10,0.0,0.0,0.0,416.0,0.0,0.0,0.0,,,
2027-11,0.0,0.0,0.0,416.0,0.0,0.0,0.0,,,
2027-12,0.0,0.0,0.0,416.0,0.0,0.0,0.0,,,
2028-01,0.0,0.0,0.0,416.0,0.0,0.0,0.0,,,
2028-02,0.0,0.0,0.0,416.0,0.0,0.0,0.0,,,
2028-03,0.0,0.0,0.0,416.0,0.0,0.0,0.0,,,
2028-04,0.0,0.0,0.0,416.0,0.0,0.0,0.0,,,
2028-05,0.0,0.0,0.0,416.0,0.0,0.0,0.0,,,
2028-06,0.0,0.0,0.0,416.0,0.0,0.0,0.0,,,
2028-07,0.0,0.0,0.0,416.0,0.0,0.0,0.0,,,
2028-08,0.0,0.0,0.0,416.0,0.0,0.0,0.0,,,
2028-09,0.0,0.0,0.0,416.0,0.0,0.0,0.0,,,
2028-10,0.0,0.0,0.0,416.0,0.0,0.0,0.0,,,
2028-11,0.0,0.0,0.0,416.0,0.0,0.0,0.0,,,
2028-12,0.0,0.0,0.0,416.0,0.0,0.0,0.0,,,
